ID,species,tarsus,ulna,cv.skull.1,second_digit,sclerotic_ring,metatarsus,cv.keel.1,humerus,cv.furcula.1,femur,carpometacarpus,radius
UMMZ_218479,Tangara_inornata,25.43,19.97,25.5,5.25,6.29,16.974419237761,15.02,16.96,14.2345561569664,15.86,11.3261822191098,17.6503211366866
UMMZ_218480,Tangara_larvata,24.375,21.0832342687304,27.98,5.95035116900603,6.46,17.5705387556141,16.4069829101024,17.085,15.07,15.62,13.69,18.8638905969408
UMMZ_218481,Tangara_icterocephala,27.25,22.0752729529719,30.77,5.84583361152738,7.055,19.57,17.05,18.35,15.9034575090455,16.94,13,19.6976049261524
UMMZ_218482,Tangara_icterocephala,28,21.5673220030195,30.55,5.68,6.47,20.03,18.13,18.655,16.48,17.67,11.805,16.86
UMMZ_218483,Tangara_icterocephala,26.325,21.89,29.79,5.2,6.47,19.03,16.920936827293,17.84,15.72,16.365,11.43,19.3578912247877
UMMZ_218484,Tangara_icterocephala,28.06,21.5534346447695,28.1,5.62961175547169,6.615,19.46,17.0293394968149,18.085,15.554592265522,17.86,11.8964150170288,19.2297136865666
UMMZ_218485,Tangara_gyrola,27.16,22.2629271185249,25.12,5.78,6.3,19.4,18.95,18.965,15.6434847646225,17.53,12.0718431865636,19.8613812656543
UMMZ_218486,Tangara_gyrola,27.42,22.5684959040066,30.09,5.97403987133415,6.91,18.28,19.92,19.29,16.1043056611748,18.34,11.72,19.9299170573184
UMMZ_218487,Tangara_gyrola,27.27,22.3221900641377,29.32,5.96922850955741,6.91,18.66,19.45,18.85,15.891356519444,16.685,12.0993672625043,19.8122202642817
UMMZ_218488,Tangara_gyrola,26.27,21.4252606931951,29.43,5.70654703166564,6.82,17.96,16.71,18.15,15.4480205278589,17.03,11.690113017219,18.9500835067739
UMMZ_218489,Eucometis_penicillata,31.59,27.025,35.88,6.7,7.575,22.86,20,22.55,17.72,20.23,13.28,24.13
UMMZ_218490,Tachyphonus_luctuosus,25.34,19.5472365789468,27.71,4.87470692348026,6.19,18.665,12.91,16.575,13.08,15.41,10.2551860800509,17.5677603937071
UMMZ_218491,Tachyphonus_luctuosus,26.1411937243847,20.2571452881927,27.26,4.97808832404079,6.74,24.25,14.61,16.76,12.92,16.78,10.6638388576444,18.100257990569
UMMZ_218492,Thraupis_episcopus,30.05,28.35,33.3,8.14,6.565,20.6844761443838,23.09,22.395,17.74,19.255,14.96,25.065
